componentName,Type,Order,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51,Frame52,Frame53,Frame54,Frame55,Frame56,Frame57,Frame58,Frame59,Frame60,Frame61,Frame62,Frame63,Frame64,Frame65,Frame66,Frame67,Frame68,Frame69,Frame70,Frame71,Frame72,Frame73,Frame74,Frame75,Frame76,Frame77,Frame78,Frame79,Frame80,Frame81,Frame82,Frame83,Frame84,Frame85,Frame86,Frame87,Frame88,Frame89,Frame90,Frame91,Frame92,Frame93,Frame94,Frame95,Frame96,Frame97,Frame98,Frame99,Frame100,Frame101,Frame102,Frame103,Frame104,Frame105,Frame106,Frame107,Frame108,Frame109,Frame110,Frame111,Frame112,Frame113,Frame114,Frame115,Frame116,Frame117,Frame118,Frame119,Frame120,Frame121,Frame122,Frame123,Frame124,Frame125,Frame126,Frame127,Frame128,Frame129,Frame130,Frame131,Frame132,Frame133,Frame134,Frame135,Frame136,Frame137,Frame138,Frame139,Frame140,Frame141,Frame142,Frame143,Frame144,Frame145,Frame146,Frame147,Frame148,Frame149,Frame150,Frame151,Frame152,Frame153,Frame154,Frame155,Frame156,Frame157,Frame158,Frame159,Frame160,Frame161,Frame162,Frame163,Frame164,Frame165,Frame166,Frame167,Frame168,Frame169,Frame170,Frame171,Frame172,Frame173,Frame174,Frame175,Frame176,Frame177,Frame178,Frame179,Frame180,Frame181,Frame182,Frame183,Frame184,Frame185,Frame186,Frame187,Frame188,Frame189,Frame190,Frame191,Frame192
drawer,object,1,0.0,0.01,0.13,0.04,0.0,0.0,0.79,0.0,0.01,0.04,0.68,0.07,0.07,0.0,0.14,0.0,0.74,0.55,0.33,0.49,0.8,0.82,0.01,0.09,0.65,0.82,0.65,0.64,0.74,0.07,0.59,0.8,0.79,0.26,0.8,0.8,0.87,0.16,0.7,0.13,0.79,0.82,0.7,0.73,0.01,0.03,0.0,0.02,0.02,0.0,0.01,0.01,0.09,0.01,0.05,0.01,0.02,0.07,0.1,0.01,0.07,0.13,0.14,0.01,0.01,0.04,0.08,0.09,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.03,0.01,0.0,0.0,0.0,0.06,0.14,0.0,0.01,0.0,0.01,0.0,0.04,0.0,0.01,0.01,0.01,0.06,0.01,0.07,0.01,0.01,0.01,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.13,0.06,0.12,0.09,0.04,0.0,0.14,0.12,0.33,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.18,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.08,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.16,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.11,0.01
take out,action,2,0.06,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.31,0.73,0.02,0.02,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.84,0.01,0.04,0.66,0.84,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.81,0.88,0.3,0.71,0.03,0.79,0.0,0.0,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.64,0.19,0.76,0.82,0.78,0.87,0.43,0.23,0.52,0.61,0.34,0.01,0.53,0.61,0.22,0.38,0.0,0.01,0.91,0.92,0.72,0.95,0.46,0.9,0.8,0.97,0.94,0.92,0.93,0.01,0.56,0.02,0.76,0.94,0.04,0.91,0.1,0.86,0.71,0.03,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.01,0.19,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.17,0.0,0.01,0.01,0.2,0.7,0.01,0.01,0.03,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.13,0.01,0.0,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.51,0.01
close,action,3,0.0,0.01,0.04,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.05,0.0,0.7,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.72,0.07,0.57,0.02,0.01,0.11,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.79,0.67,0.36,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.09,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.05,0.01,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.06,0.05,0.01,0.02,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
cutting board,object,4,0.02,0.01,0.3,0.35,0.01,0.01,0.0,0.14,0.25,0.01,0.11,0.01,0.0,0.06,0.27,0.01,0.06,0.03,0.55,0.05,0.01,0.71,0.06,0.11,0.56,0.71,0.0,0.08,0.0,0.01,0.26,0.01,0.01,0.07,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.15,0.0,0.34,0.02,0.01,0.38,0.05,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.04,0.34,0.01,0.26,0.01,0.07,0.01,0.13,0.02,0.09,0.52,0.01,0.0,0.01,0.01,0.03,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.05,0.01,0.51,0.03,0.02,0.01,0.01,0.06,0.01,0.01,0.02,0.05,0.02,0.01,0.21,0.01,0.17,0.02,0.02,0.3,0.02,0.05,0.01,0.09,0.0,0.0,0.01,0.01,0.01,0.03,0.04,0.03,0.01,0.56,0.68,0.0,0.41,0.71,0.97,0.97,0.96,0.01,0.05,0.01,0.21,0.97,0.82,0.94,0.28,0.01,0.01,0.01,0.97,0.95,0.62,0.97,0.97,0.96,0.97,0.99,1.0,0.93,0.9,0.15,0.85,0.29,1.0,0.99,0.95,0.31,0.33,0.75,0.85,0.98,0.91,0.97,0.97,0.97,0.97,0.56,0.91,0.99,0.94,0.96,0.66,0.0,0.01,0.01,0.02,0.84,0.1,0.02,0.01,0.0,0.01,0.01,0.16,0.02,0.01,0.06,0.33,0.04,0.01
cut,action,5,0.02,0.01,0.15,0.18,0.01,0.01,0.0,0.28,0.01,0.01,0.01,0.01,0.0,0.02,0.13,0.01,0.06,0.02,0.22,0.03,0.01,0.01,0.01,0.26,0.05,0.01,0.0,0.09,0.0,0.01,0.13,0.01,0.01,0.11,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.07,0.0,0.17,0.0,0.01,0.2,0.1,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.08,0.25,0.01,0.19,0.0,0.11,0.01,0.23,0.01,0.06,0.25,0.0,0.0,0.01,0.01,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.0,0.04,0.0,0.08,0.0,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.0,0.02,0.01,0.13,0.0,0.03,0.01,0.01,0.15,0.0,0.03,0.01,0.1,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.02,0.0,0.07,0.3,0.97,0.97,0.95,0.01,0.05,0.01,0.67,0.96,0.31,0.97,0.6,0.01,0.0,0.01,0.97,0.95,0.45,0.97,0.97,0.96,0.97,0.95,0.97,0.93,0.89,0.27,0.78,0.16,0.98,0.97,0.95,0.33,0.42,0.19,0.86,0.58,0.91,0.97,0.91,0.96,0.97,0.37,0.91,0.84,0.94,0.98,0.46,0.01,0.01,0.0,0.0,0.8,0.02,0.01,0.0,0.0,0.01,0.01,0.15,0.01,0.0,0.05,0.03,0.14,0.01
open,action,6,0.0,0.0,0.1,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.54,0.33,0.48,0.79,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.02,0.78,0.78,0.16,0.79,0.0,0.0,0.01,0.01,0.06,0.03,0.01,0.03,0.38,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.01,0.02,0.07,0.02,0.01,0.04,0.01,0.08,0.01,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.1,0.0,0.06,0.01,0.03,0.0,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
sink,location,7,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.3,0.01,0.02,0.02,0.01,0.06,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.05,0.0,0.01,0.56,0.02,0.01,0.76,0.02,0.02,0.0,0.08,0.01,0.0,0.01,0.01,0.01,0.47,0.01,0.02,0.13,0.01,0.17,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.22,0.02,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.02,0.01,0.02,0.01,0.01,0.0,0.02,0.0,0.09,0.02,0.0,0.01,0.04,0.02,0.01,0.01,0.01,0.03,0.01,0.95,0.81,0.29,0.51,0.68,0.92,0.91,0.92,0.93,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.04,0.02,0.52,0.39,0.52,0.34,0.01,0.01,0.03,0.02,0.01,0.01,0.0,0.01,0.01,0.03,0.02,0.01,0.0,0.0,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.04,0.06,0.02,0.49,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.0,0.05,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.03,0.01,0.01,0.03,0.04,0.01,0.01,0.01,0.01
wash,action,8,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.28,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.03,0.0,0.05,0.0,0.0,0.11,0.0,0.01,0.62,0.0,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.0,0.06,0.01,0.02,0.13,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.08,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.86,0.71,0.06,0.15,0.12,0.77,0.84,0.79,0.89,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.1,0.08,0.1,0.08,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.06,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01
cupboard,location,9,0.17,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.07,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.03,0.03,0.01,0.07,0.02,0.03,0.08,0.01,0.02,0.1,0.03,0.0,0.0,0.04,0.02,0.1,0.0,0.01,0.92,0.88,0.73,0.94,0.47,0.88,0.75,0.93,0.94,0.92,0.94,0.01,0.34,0.02,0.76,0.94,0.07,0.91,0.15,0.86,0.7,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.05,0.16,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.01,0.01,0.01,0.03,0.16,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.04,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.01,0.0,0.01,0.29,0.01
move,action,10,0.02,0.02,0.04,0.06,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.14,0.06,0.01,0.01,0.08,0.05,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.24,0.0,0.01,0.01,0.03,0.01,0.01,0.23,0.01,0.0,0.01,0.17,0.17,0.01,0.01,0.01,0.03,0.0,0.07,0.05,0.01,0.06,0.0,0.03,0.01,0.09,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.04,0.0,0.01,0.01,0.02,0.01,0.06,0.07,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.39,0.01,0.34,0.01,0.0,0.37,0.55,0.45,0.64,0.01,0.5,0.01,0.01,0.03,0.0,0.12,0.02,0.02,0.05,0.07,0.02,0.0,0.0,0.04,0.22,0.04,0.39,0.79,0.25,0.64,0.33,0.2,0.03,0.01,0.01,0.01,0.24,0.03,0.26,0.01,0.57,0.07,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.0,0.05,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.05,0.0,0.01,0.01,0.01,0.06,0.06,0.01,0.01,0.01,0.25,0.02,0.62,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.08,0.01,0.15,0.0,0.32,0.21,0.75,0.77,0.72,0.71,0.06,0.7,0.76,0.12,0.81,0.2,0.7,0.25,0.51
