componentName,Type,Order,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51,Frame52,Frame53,Frame54,Frame55,Frame56,Frame57,Frame58,Frame59,Frame60,Frame61,Frame62,Frame63,Frame64,Frame65,Frame66,Frame67,Frame68,Frame69,Frame70,Frame71,Frame72,Frame73,Frame74,Frame75,Frame76,Frame77,Frame78,Frame79,Frame80,Frame81,Frame82,Frame83,Frame84,Frame85,Frame86,Frame87,Frame88,Frame89,Frame90,Frame91,Frame92,Frame93,Frame94,Frame95,Frame96,Frame97,Frame98,Frame99,Frame100,Frame101,Frame102,Frame103,Frame104,Frame105,Frame106,Frame107,Frame108,Frame109,Frame110,Frame111,Frame112,Frame113,Frame114,Frame115,Frame116,Frame117,Frame118,Frame119,Frame120,Frame121,Frame122,Frame123,Frame124,Frame125,Frame126,Frame127,Frame128,Frame129,Frame130,Frame131,Frame132,Frame133,Frame134,Frame135,Frame136,Frame137,Frame138,Frame139,Frame140,Frame141,Frame142,Frame143,Frame144,Frame145,Frame146,Frame147,Frame148,Frame149,Frame150,Frame151,Frame152,Frame153,Frame154,Frame155,Frame156,Frame157,Frame158,Frame159,Frame160,Frame161,Frame162,Frame163,Frame164,Frame165,Frame166,Frame167,Frame168,Frame169,Frame170,Frame171,Frame172,Frame173,Frame174,Frame175,Frame176,Frame177,Frame178,Frame179,Frame180,Frame181,Frame182,Frame183,Frame184,Frame185,Frame186,Frame187,Frame188,Frame189,Frame190,Frame191,Frame192,Frame193,Frame194,Frame195,Frame196,Frame197,Frame198,Frame199,Frame200,Frame201,Frame202,Frame203,Frame204,Frame205,Frame206,Frame207,Frame208,Frame209,Frame210,Frame211,Frame212,Frame213,Frame214,Frame215,Frame216,Frame217,Frame218,Frame219,Frame220,Frame221,Frame222,Frame223,Frame224,Frame225,Frame226,Frame227,Frame228,Frame229,Frame230,Frame231,Frame232,Frame233,Frame234,Frame235,Frame236,Frame237,Frame238,Frame239,Frame240,Frame241,Frame242,Frame243,Frame244,Frame245,Frame246,Frame247,Frame248,Frame249,Frame250,Frame251,Frame252,Frame253,Frame254,Frame255,Frame256,Frame257,Frame258
cutting board,object,1,0.01,0.01,0.02,0.02,0.01,0.02,0.27,0.01,0.01,0.95,0.01,0.11,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.88,0.01,0.02,0.06,0.02,0.03,0.03,0.01,0.02,0.16,0.01,0.01,0.05,0.09,0.01,0.03,0.01,0.03,0.01,0.0,0.0,0.02,0.01,0.0,0.12,0.21,0.01,0.01,0.44,0.68,0.75,0.59,0.11,0.03,0.02,0.04,0.0,0.49,0.29,0.01,0.0,0.06,0.01,0.01,0.14,0.45,0.01,0.68,0.01,0.06,0.01,0.61,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.04,0.01,0.03,0.01,0.01,0.02,0.05,0.27,0.01,0.72,0.01,0.01,0.81,0.01,0.0,0.0,0.09,0.01,0.02,0.01,0.01,0.21,0.04,0.0,0.01,0.01,0.01,0.01,0.97,0.98,0.92,0.02,0.01,0.45,0.01,0.01,0.99,0.91,0.01,0.47,0.02,0.12,0.01,0.1,0.01,0.01,0.03,0.03,0.58,0.0,0.01,0.0,0.94,0.98,0.98,0.96,0.33,0.93,0.99,0.96,0.3,0.09,0.56,0.03,0.03,0.01,0.88,0.96,0.89,0.94,0.95,0.37,0.89,0.96,0.98,0.97,0.3,0.26,0.97,0.97,0.93,0.01,0.94,0.94,0.62,0.97,0.98,0.23,0.94,0.97,0.99,0.96,0.25,0.65,0.9,0.91,0.97,0.96,0.97,0.95,0.05,0.02,0.07,0.04,0.0,0.0,0.01,0.52,0.24,0.01,0.96,0.97,0.12,0.88,0.97,0.94,0.9,0.02,0.99,0.65,0.92,0.93,0.97,0.93,0.96,0.02,0.0,0.01,0.06,0.94,0.97,0.97,0.97,0.97,0.11,0.91,0.98,0.3,0.72,0.81,0.02,0.01,0.01,0.01,0.2,0.93,0.97,0.98,0.97,0.19,0.94,0.23,0.87,0.46,0.35,0.98,0.92,0.96,0.98,0.73,0.98,0.02,0.01,0.01,0.02,0.46,0.04,0.01,0.18,0.01,0.03
cut,action,2,0.01,0.01,0.02,0.01,0.01,0.0,0.14,0.01,0.01,0.95,0.02,0.18,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.02,0.88,0.01,0.03,0.05,0.01,0.02,0.0,0.01,0.02,0.26,0.01,0.01,0.04,0.03,0.01,0.0,0.04,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.07,0.16,0.01,0.01,0.01,0.01,0.0,0.07,0.02,0.0,0.02,0.0,0.01,0.22,0.01,0.01,0.01,0.0,0.01,0.0,0.14,0.0,0.0,0.0,0.01,0.07,0.01,0.26,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.02,0.03,0.21,0.01,0.08,0.02,0.01,0.03,0.01,0.0,0.0,0.05,0.01,0.01,0.01,0.01,0.16,0.0,0.01,0.01,0.01,0.01,0.01,0.85,0.96,0.92,0.02,0.01,0.01,0.02,0.02,0.95,0.91,0.01,0.32,0.01,0.23,0.01,0.07,0.01,0.0,0.01,0.04,0.64,0.0,0.0,0.01,0.94,0.88,0.98,0.95,0.49,0.92,0.85,0.83,0.33,0.59,0.41,0.02,0.05,0.01,0.88,0.97,0.69,0.82,0.95,0.16,0.88,0.95,0.97,0.97,0.37,0.38,0.97,0.97,0.93,0.01,0.94,0.93,0.45,0.96,0.98,0.24,0.95,0.97,0.76,0.96,0.36,0.63,0.85,0.9,0.97,0.96,0.98,0.94,0.08,0.01,0.04,0.03,0.01,0.01,0.01,0.25,0.11,0.01,0.96,0.96,0.22,0.88,0.97,0.93,0.9,0.01,0.95,0.68,0.96,0.97,0.97,0.93,0.95,0.01,0.01,0.01,0.01,0.93,0.92,0.97,0.97,0.97,0.11,0.91,0.99,0.35,0.52,0.46,0.01,0.01,0.01,0.01,0.3,0.93,0.81,0.99,0.96,0.25,0.92,0.33,0.87,0.23,0.41,0.98,0.91,0.96,0.98,0.76,0.97,0.01,0.01,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01
take out,action,3,0.01,0.0,0.01,0.22,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.52,0.42,0.01,0.01,0.84,0.75,0.96,0.65,0.61,0.78,0.68,0.57,0.72,0.56,0.49,0.82,0.72,0.11,0.78,0.02,0.7,0.65,0.03,0.22,0.01,0.01,0.0,0.01,0.02,0.13,0.06,0.01,0.0,0.04,0.04,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.97,0.81,0.49,0.6,0.62,0.0,0.04,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.52,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.57,0.0,0.01,0.01,0.03,0.0,0.02,0.02,0.01,0.42,0.05,0.8,0.68,0.81,0.09,0.69,0.0,0.01,0.03,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.06,0.0,0.0,0.08,0.0,0.07,0.01,0.01,0.02,0.03,0.32,0.0,0.01,0.01,0.06,0.88,0.04,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.05,0.01,0.01,0.0,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.06,0.22,0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.0,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.11,0.14,0.01,0.0,0.03,0.49,0.01,0.01,0.01,0.01,0.0,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.02,0.01,0.05,0.04,0.01
drawer,object,4,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.01,0.05,0.01,0.09,0.01,0.02,0.0,0.01,0.02,0.01,0.01,0.01,0.05,0.03,0.37,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.05,0.0,0.0,0.01,0.0,0.01,0.0,0.09,0.0,0.05,0.05,0.01,0.0,0.01,0.38,0.36,0.07,0.8,0.52,0.58,0.83,0.8,0.53,0.79,0.48,0.58,0.58,0.05,0.01,0.15,0.97,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.18,0.01,0.07,0.64,0.06,0.28,0.08,0.79,0.55,0.8,0.52,0.65,0.82,0.81,0.26,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.19,0.0,0.07,0.0,0.01,0.0,0.0,0.04,0.0,0.06,0.12,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.01,0.0,0.01,0.02,0.06,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.03,0.0,0.01,0.0,0.05,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.05,0.01,0.01,0.01,0.01,0.07,0.01,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.1,0.01,0.04,0.08,0.01,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.0,0.82,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.03,0.01,0.0,0.0,0.05,0.05,0.0,0.01,0.01,0.01,0.0,0.06,0.01,0.0,0.03,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.09,0.1,0.0,0.0
cucumber,object,5,0.0,0.0,0.0,0.03,0.0,0.01,0.02,0.0,0.0,0.13,0.0,0.02,0.21,0.01,0.0,0.69,0.09,0.01,0.55,0.68,0.66,0.57,0.55,0.6,0.18,0.16,0.49,0.55,0.66,0.66,0.03,0.48,0.54,0.08,0.02,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.02,0.37,0.21,0.43,0.24,0.36,0.01,0.39,0.36,0.58,0.18,0.31,0.25,0.04,0.3,0.28,0.04,0.01,0.01,0.31,0.36,0.28,0.38,0.05,0.08,0.62,0.39,0.25,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.03,0.0,0.01,0.0,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.56,0.21,0.21,0.0,0.0,0.01,0.03,0.0,0.27,0.63,0.27,0.42,0.33,0.01,0.01,0.0,0.01,0.03,0.01,0.0,0.0,0.01,0.01,0.0,0.73,0.45,0.21,0.78,0.25,0.74,0.51,0.26,0.21,0.0,0.46,0.02,0.0,0.0,0.66,0.75,0.25,0.25,0.72,0.21,0.2,0.23,0.02,0.77,0.23,0.2,0.75,0.68,0.23,0.0,0.8,0.74,0.43,0.2,0.19,0.35,0.77,0.75,0.55,0.76,0.19,0.16,0.57,0.68,0.76,0.77,0.76,0.18,0.04,0.26,0.01,0.0,0.01,0.03,0.0,0.05,0.03,0.0,0.75,0.02,0.24,0.69,0.75,0.77,0.71,0.12,0.09,0.09,0.09,0.74,0.69,0.73,0.74,0.33,0.07,0.19,0.06,0.78,0.76,0.75,0.82,0.75,0.42,0.13,0.55,0.23,0.45,0.16,0.31,0.03,0.03,0.15,0.18,0.71,0.57,0.51,0.26,0.15,0.18,0.18,0.7,0.04,0.27,0.47,0.66,0.7,0.55,0.64,0.83,0.37,0.32,0.32,0.33,0.0,0.0,0.0,0.06,0.04,0.17
sink,location,6,0.02,0.14,0.02,0.3,0.02,0.01,0.11,0.01,0.02,0.0,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.06,0.0,0.01,0.0,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.05,0.02,0.01,0.01,0.0,0.02,0.02,0.02,0.0,0.0,0.01,0.01,0.01,0.42,0.1,0.0,0.21,0.01,0.82,0.01,0.01,0.34,0.02,0.03,0.93,0.96,0.98,0.78,0.91,0.93,0.97,0.96,0.74,0.35,0.31,0.52,0.62,0.02,0.6,0.59,0.08,0.4,0.55,0.65,0.82,0.54,0.93,0.04,0.79,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.03,0.02,0.01,0.01,0.0,0.12,0.0,0.03,0.0,0.01,0.01,0.0,0.02,0.02,0.01,0.01,0.01,0.02,0.06,0.55,0.01,0.01,0.0,0.01,0.02,0.01,0.03,0.01,0.07,0.01,0.03,0.25,0.52,0.23,0.0,0.01,0.02,0.06,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.49,0.01,0.04,0.01,0.01,0.02,0.03,0.3,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.27,0.0,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.17,0.09,0.01,0.01,0.01,0.01,0.01,0.83,0.0,0.01,0.01,0.01,0.0,0.03,0.06,0.01,0.13,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.18,0.01,0.1,0.07,0.03,0.02,0.0,0.03,0.14,0.12,0.01,0.03
wash,action,7,0.01,0.13,0.01,0.13,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.08,0.1,0.0,0.07,0.01,0.78,0.0,0.01,0.32,0.0,0.01,0.84,0.91,0.94,0.59,0.84,0.88,0.7,0.87,0.65,0.06,0.05,0.07,0.1,0.0,0.21,0.17,0.03,0.08,0.02,0.1,0.18,0.08,0.82,0.01,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.11,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.07,0.0,0.01,0.1,0.1,0.05,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.06,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.42,0.01,0.01,0.0,0.0,0.0,0.01,0.08,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.25,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.16,0.03,0.01,0.01,0.01,0.01,0.01,0.63,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.03,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.0,0.0,0.01,0.13,0.01,0.0,0.01
fridge,location,8,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.8,0.68,0.03,0.65,0.58,0.77,0.68,0.58,0.72,0.19,0.17,0.53,0.73,0.1,0.77,0.06,0.68,0.65,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.54,0.0,0.01,0.0,0.14,0.0,0.0,0.03,0.09,0.05,0.0,0.01,0.11,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.03,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.19,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.14,0.0,0.0,0.0,0.41,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.12,0.0
open,action,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.05,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.16,0.36,0.0,0.79,0.52,0.57,0.82,0.78,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.11,0.01,0.06,0.64,0.03,0.01,0.01,0.0,0.01,0.0,0.04,0.05,0.01,0.01,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.05,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
close,action,10,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.01,0.0,0.09,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.01,0.07,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.15,0.47,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.06,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.48,0.04,0.79,0.79,0.17,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.06,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.03,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.05,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.01,0.04,0.07,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.8,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
