cut, action
peel, action
stir, action
take out, action
move, action
wash, action
throw, action
add, action
open, action
scrub, action
close, action
peel(o), object
bowl, object
pineapple, object
onion, object
carrot, object
potato, object
cucumber, object
drawer, object
frying pan, object
cutting board, object
plate, object
knife, object
knife(l), location
plate(l), location
frying pan(l), location
drawer(l), location
cutting board(l), location
bowl(l), location
garbage, location
counter, location
cupboard, location
fridge, location
sink, location
